gamma,include_state_pred,best_timestep,i_episode
0.0,False,274,500
0.0,False,71,500
0.0,False,10000,408
0.0,False,732,500
0.0,False,58,500
0.0,False,10000,447
0.0,False,10000,182
0.0,False,201,500
0.0,False,10000,113
0.0,False,10000,39
0.0,False,10000,109
0.0,False,102,500
0.0,False,10000,132
0.0,False,227,500
0.0,False,122,500
0.0,False,10000,345
0.0,False,10000,331
0.0,False,550,500
0.0,False,10000,34
0.0,False,10000,152
0.0,False,10000,159
0.0,False,10000,49
0.0,False,10000,103
0.0,False,91,500
0.0,False,55,500
0.0,False,10000,111
