gamma,include_state_pred,best_timestep,i_episode
0.0,True,191,500
0.0,True,3488,500
0.0,True,70,500
0.0,True,4547,500
0.0,True,401,500
0.0,True,142,500
0.0,True,66,500
0.0,True,127,500
0.0,True,10000,173
0.0,True,10000,270
0.0,True,10000,146
0.0,True,10000,84
0.0,True,475,500
0.0,True,10000,93
0.0,True,10000,283
0.0,True,80,500
0.0,True,304,500
0.0,True,10000,42
0.0,True,10000,401
0.0,True,195,500
0.0,True,10000,68
0.0,True,384,500
0.0,True,10000,112
0.0,True,744,500
0.0,True,10000,362
0.0,True,43,500
0.0,True,82,500
0.0,True,10000,34
0.0,True,307,500
0.0,True,10000,60
0.0,True,2981,500
0.0,True,10000,89
0.0,True,10000,483
0.0,True,10000,65
0.0,True,10000,39
0.0,True,87,500
0.0,True,140,500
0.0,True,403,500
0.0,True,115,500
0.0,True,123,500
0.0,True,10000,116
0.0,True,1771,500
0.0,True,56,500
