0.0,False,45,500
0.0,False,10000,146
0.0,False,10000,60
0.0,False,3926,500
0.0,False,127,500
0.0,False,89,500
0.0,False,244,500
0.0,False,10000,58
0.0,False,10000,237
0.0,False,52,500
0.0,False,1027,500
0.0,False,446,500
0.0,False,10000,110
0.0,False,10000,39
0.0,False,46,500
0.0,False,10000,65
0.0,False,10000,40
0.0,False,10000,103
0.0,False,10000,116
0.0,False,602,500
0.0,False,710,500
0.0,False,714,500
0.0,False,38,500
0.0,False,10000,61
0.0,False,2643,500
0.0,False,246,500
0.0,False,515,500
0.0,False,10000,51
0.0,False,10000,87
0.0,False,10000,32
0.0,False,75,500
0.0,False,2361,500
