gamma,include_state_pred,best_timestep,i_episode
0.0,True,10000,356
0.0,True,298,500
0.0,True,10000,109
0.0,True,80,500
0.0,True,10000,137
0.0,True,1907,500
0.0,True,10000,152
0.0,True,98,500
0.0,True,10000,52
0.0,True,1862,500
0.0,True,10000,455
0.0,True,10000,89
0.0,True,402,500
0.0,True,10000,70
0.0,True,2077,500
0.0,True,10000,466
0.0,True,1738,500
0.0,True,1016,500
0.0,True,10000,160
0.0,True,162,500
0.0,True,99,500
0.0,True,10000,113
0.0,True,10000,48
0.0,True,52,500
0.0,True,10000,40
0.0,True,10000,48
0.0,True,10000,405
0.0,True,87,500
0.0,True,10000,389
