gamma,include_state_pred,best_timestep,i_episode
0.0,False,710,500
0.0,False,105,500
0.0,False,10000,97
0.0,False,10000,23
0.0,False,84,500
0.0,False,128,500
0.0,False,10000,68
0.0,False,10000,147
0.0,False,204,500
0.0,False,10000,275
0.0,False,10000,90
0.0,False,102,500
0.0,False,38,500
0.0,False,10000,205
0.0,False,4375,500
0.0,False,10000,33
0.0,False,10000,231
0.0,False,838,500
0.0,False,10000,53
0.0,False,10000,82
0.0,False,1887,500
0.0,False,38,500
0.0,False,83,500
0.0,False,127,500
0.0,False,555,500
0.0,False,10000,92
0.0,False,10000,133
0.0,False,10000,19
0.0,False,823,500
0.0,False,4068,500
0.0,False,10000,37
0.0,False,10000,3
0.0,False,2342,500
0.0,False,39,500
0.0,False,10000,108
0.0,False,2990,500
0.0,False,10000,35
0.0,False,10000,115
0.0,False,45,500
0.0,False,10000,195
0.0,False,10000,76
0.0,False,10000,54
0.0,False,58,500
0.0,False,1168,500
0.0,False,10000,101
0.0,False,46,500
0.0,False,97,500
0.0,False,49,500
0.0,False,77,500
0.0,False,10000,54
0.0,False,150,500
0.0,False,10000,27
0.0,False,124,500
0.0,False,38,500
0.0,False,126,500
0.0,False,127,500
0.0,False,46,500
0.0,False,74,500
0.0,False,1333,500
0.0,False,10000,82
0.0,False,10000,166
0.0,False,39,500
0.0,False,2633,500
0.0,False,143,500
0.0,False,9678,500
0.0,False,10000,62
