gamma,include_state_pred,best_timestep,i_episode
0.0,False,10000,74
0.0,False,2132,500
0.0,False,2548,500
0.0,False,42,500
0.0,False,77,500
0.0,False,10000,127
0.0,False,1583,500
0.0,False,419,500
0.0,False,724,500
0.0,False,9911,500
0.0,False,701,500
0.0,False,47,500
0.0,False,691,500
0.0,False,64,500
0.0,False,10000,146
0.0,False,1567,500
0.0,False,80,500
0.0,False,63,500
0.0,False,72,500
0.0,False,149,500
0.0,False,336,500
0.0,False,10000,195
0.0,False,10000,461
0.0,False,10000,25
0.0,False,60,500
0.0,False,162,500
0.0,False,1285,500
0.0,False,66,500
0.0,False,173,500
0.0,False,10000,332
0.0,False,83,500
0.0,False,405,500
0.0,False,10000,84
0.0,False,716,500
0.0,False,10000,33
0.0,False,10000,81
0.0,False,10000,165
0.0,False,10000,434
0.0,False,1471,500
0.0,False,115,500
0.0,False,8268,500
0.0,False,554,500
0.0,False,10000,49
0.0,False,10000,101
0.0,False,10000,90
0.0,False,10000,85
0.0,False,10000,57
0.0,False,10000,74
0.0,False,913,500
0.0,False,10000,151
0.0,False,75,500
0.0,False,287,500
0.0,False,53,500
0.0,False,1014,500
0.0,False,491,500
0.0,False,70,500
0.0,False,327,500
0.0,False,604,500
0.0,False,116,500
0.0,False,10000,230
0.0,False,445,500
0.0,False,781,500
0.0,False,75,500
0.0,False,140,500
0.0,False,104,500
0.0,False,341,500
0.0,False,1309,500
0.0,False,139,500
0.0,False,10000,161
0.0,False,764,500
0.0,False,58,500
0.0,False,10000,175
0.0,False,10000,78
0.0,False,10000,24
0.0,False,1631,500
0.0,False,10000,178
0.0,False,613,500
0.0,False,47,500
0.0,False,10000,85
0.0,False,10000,78
0.0,False,10000,69
0.0,False,10000,43
0.0,False,49,500
0.0,False,198,500
0.0,False,73,500
0.0,False,201,500
0.0,False,48,500
0.0,False,10000,89
0.0,False,2668,500
0.0,False,10000,28
0.0,False,39,500
0.0,False,4726,500
0.0,False,121,500
0.0,False,138,500
0.0,False,42,500
0.0,False,10000,174
0.0,False,10000,128
