gamma,include_state_pred,best_timestep,i_episode
0.0,True,10000,296
0.0,True,1015,500
0.0,True,10000,27
0.0,True,10000,74
0.0,True,10000,84
0.0,True,10000,214
0.0,True,10000,110
0.0,True,10000,144
0.0,True,7056,500
0.0,True,3464,500
0.0,True,10000,126
0.0,True,890,500
0.0,True,10000,143
0.0,True,10000,342
0.0,True,10000,141
0.0,True,210,500
0.0,True,10000,180
0.0,True,10000,72
0.0,True,53,500
0.0,True,10000,197
0.0,True,10000,103
0.0,True,10000,71
0.0,True,227,500
0.0,True,81,500
0.0,True,188,500
0.0,True,10000,26
0.0,True,1532,500
0.0,True,70,500
0.0,True,10000,169
0.0,True,10000,61
0.0,True,10000,259
0.0,True,10000,463
0.0,True,4247,500
0.0,True,10000,70
0.0,True,141,500
0.0,True,10000,33
0.0,True,76,500
0.0,True,395,500
0.0,True,10000,87
0.0,True,10000,9
0.0,True,10000,164
0.0,True,10000,54
0.0,True,441,500
0.0,True,10000,183
0.0,True,2100,500
0.0,True,1307,500
0.0,True,10000,124
0.0,True,10000,250
0.0,True,10000,88
0.0,True,62,500
0.0,True,10000,96
0.0,True,43,500
0.0,True,717,500
0.0,True,270,500
0.0,True,41,500
0.0,True,10000,151
0.0,True,86,500
0.0,True,649,500
0.0,True,100,500
0.0,True,10000,447
0.0,True,275,500
0.0,True,10000,94
0.0,True,2264,500
0.0,True,10000,30
0.0,True,2240,500
0.0,True,10000,87
0.0,True,268,500
0.0,True,10000,58
0.0,True,4328,500
0.0,True,10000,489
0.0,True,10000,54
0.0,True,44,500
0.0,True,540,500
0.0,True,1166,500
0.0,True,10000,123
0.0,True,524,500
0.0,True,613,500
0.0,True,1096,500
0.0,True,1275,500
0.0,True,81,500
